,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
92,395,18,50000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
93,1639,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,318.0,2.0,4,0.0
94,1566,156,50000,2.0,100.0,1,0.0,0.0,0.0,0.0,0.0,100.0,443.0,3.0,4,0.0
95,1493,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,320.0,2.0,4,0.0
96,535,18,50000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,1,0.0
97,1576,156,50000,2.0,92.0,1,0.0,0.0,0.0,0.0,0.0,92.0,170.0,2.0,6,0.0
98,1929,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,183.0,2.0,4,0.0
99,1008,272,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,1020.0,2.0,6,0.0
100,1008,272,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,1022.0,2.0,6,0.0
101,1008,272,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,958.0,2.0,6,0.0
102,1666,156,50000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,153.0,2.0,4,0.0
103,273,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,110.0,2.0,4,0.0
104,1783,18,50000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
105,1596,156,50000,6.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,280.0,2.0,6,0.0
106,1050,156,50000,4.0,166.0,2,0.0,1.0,24.0,0.0,0.0,166.0,143.0,1.0,6,0.0
107,1362,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,850.0,4.0,4,0.0
108,907,156,50000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,450.0,2.0,6,0.0
109,1265,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
110,1356,49,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,3,0.0
111,1022,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,131.0,2.0,3,0.0
112,1090,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,354.0,2.0,6,0.0
113,223,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,190.0,2.0,6,0.0
114,1119,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,215.0,2.0,3,0.0
